ID,app_ID,Call,Service_Type,Market,State,transmitter_lat,transmitter_lon,avg.dist,xFormat,Format,SEPT.16,OCT.16,NOV.16,DEC.16,Share_Change,Christmas
BMLED-20150130AKN,1665581,KALS,FM,NA,MT,48.01328,-114.36624,80911.88,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20001220ABI,542602,KALT,FM,NA,CA,41.49906,-120.62607,15115.13,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-19951003KA,214936,KALU,FM,NA,OK,35.94338,-97.2592,9107.03,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-1644,299403,KALW,FM,San Fransisco,CA,37.75465,-122.44664,33076.67,NA,News Talk Information,NA,0.8,0.9,1,0.1,FALSE
BLED-19820712AL,44828,KALX,FM,NA,CA,37.8777,-122.24664,18385.37,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20060113ABY,1107995,KALZ,FM,NA,CA,36.69495,-119.7332,42553.59,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20130502AAZ,1553313,KAMA,FM,Houston,TX,29.75745,-95.33883,50405.39,NA,Spanish Contemporary,NA,2.5,2.2,2.9,0.7,FALSE
BLED-19971112KJ,256755,KAMB,FM,NA,CA,37.53355,-120.03046,62211.43,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20020806AAD,609187,KAMD,FM,NA,AR,33.50401,-92.81072,50441.56,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20020722AAZ,607047,KAMJ,FM,NA,AR,35.89896,-89.88009,22534.19,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20081002ADT,1275815,KAML,FM,NA,WY,43.99914,-105.25471,74446.16,NA,NA,NA,NA,NA,NA,NA,FALSE
BNPED-20090205AAA,1294123,KAMN,FM,NA,AK,59.75404,-154.87301,6089.27,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19951206KC,217670,KAMO,FM,NA,AR,36.44174,-93.97409,51158.72,NA,NA,NA,NA,NA,NA,NA,FALSE
BMLH-19900206KB,144897,KAMP,FM,Los Angeles,CA,34.22695,-118.06701,60127.32,NA,Pop Contemporary Hit Radio,NA,3,3,3,0,FALSE
BLH-19881108KC,120056,KAMS,FM,NA,AR,36.54701,-91.42986,63097.92,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20130523AGJ,1555958,KAMT,FM,NA,TX,35.73976,-102.24936,51544.45,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20091214AFO,1352433,KAMU,FM,NA,TX,30.62992,-96.34274,38133.81,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19980225KD,262797,KAMX,FM,Austin,TX,30.32326,-97.79973,79663.62,NA,Hot Adult Contemporary,4.6,4.3,4.6,NA,NA,FALSE
BLED-20060331AVB,1123529,KAMY,FM,NA,TX,33.50231,-101.87267,53305.46,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20001213ABO,541280,KAMZ,FM,NA,TX,33.32398,-101.8046,36047.4,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20020502AAC,601886,KANH,FM,NA,KS,38.36252,-96.11694,21401.47,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20060512AAD,1134271,KANJ,FM,NA,TX,30.16577,-96.87109,11301.33,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20041101ACR,1024383,KANL,FM,NA,OR,44.76599,-117.88272,17086.67,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20161017AAD,1742152,KANO,FM,NA,HI,19.52058,-155.29945,49173.58,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20101013ADV,1403126,KANP,FM,NA,ID,44.17491,-111.43051,14733.72,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20110405ABQ,1421936,KANQ,FM,NA,KS,37.59977,-95.65304,43756.72,NA,NA,NA,NA,NA,NA,NA,FALSE
BMLH-20040506ACD,992057,KANS,FM,NA,KS,38.40585,-96.23722,26751.81,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20080304AAR,1237102,KANT,FM,NA,WY,42.34625,-105.03495,41624.44,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-19920721KA,175361,KANU,FM,Kansas City,KS,38.95389,-95.26997,65537.31,NA,Variety,0.7,0.6,0.9,NA,NA,FALSE
BLED-20030117ABS,622173,KANV,FM,NA,KS,39.01528,-96.8989,28467.47,NA,NA,NA,NA,NA,NA,NA,FALSE
BMLED-20090324ABX,1300417,KANW,FM,NA,NM,35.21227,-106.44975,90494.63,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-19990519KA,285270,KANX,FM,NA,AR,34.29065,-92.49349,47564.48,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20140502ABV,1653376,KANY,FM,NA,WA,46.93315,-123.73378,28178.54,NA,NA,NA,NA,NA,NA,NA,FALSE
